Genus,Species,Body weight (g),Brain weight (g),Total length (cm)
Cyprichromis,leptosoma,11.78,0.074,
Cyprichromis,leptosoma,9.05,0.092,
Cyprichromis,leptosoma,7.78,0.091,
Cyprichromis,leptosoma,6.85,0.07,
Cyprichromis,leptosoma,19.8,0.1013,
Cyprichromis,leptosoma,16.2,0.1078,
Cyprichromis,leptosoma,19.8,0.1012,
Cyprichromis,leptosoma,17.5,0.1042,
Cyprichromis,leptosoma,9.9,0.0739,
Cyprichromis,leptosoma,19.1,0.1114,
Cyprichromis,leptosoma,21,0.1003,
Cyprichromis,leptosoma,17.6,0.099,
Cyprichromis,leptosoma,12.6,0.0782,
Cyprichromis,leptosoma,11.2,0.0781,
Cyprichromis,leptosoma,20.5,0.1231,
Cyprichromis,leptosoma,19.5,0.1044,
Cyprichromis,microlepidotus,13.53,0.111,
Cyprichromis,microlepidotus,20.9,0.128,
Cyprichromis,microlepidotus,23.21,0.127,
Cyprichromis,microlepidotus,19.26,0.123,
Cyprichromis,microlepidotus,12.55,0.098,
Ectodus,descampsii,8.7,0.0614,
Ectodus,descampsii,9.8,0.0648,
Ectodus,descampsii,5.5,0.0483,
Ectodus,descampsii,6.5,0.0528,
Ectodus,descampsii,8.7,0.0618,
Ectodus,descampsii,7.7,0.0583,
Ectodus,descampsii,9,0.0616,
Ectodus,descampsii,10.4,0.063,
Ectodus,descampsii,10,0.0574,
Ectodus,descampsii,8.8,0.0792,
Ectodus,descampsii,8,0.0593,
Ectodus,descampsii,8.9,0.0657,
Ectodus,descampsii,9.8,0.0676,
Ectodus,descampsii,9.8,0.0663,
Eretmodus,cyanostictus,1.89,0.032,
Eretmodus,cyanostictus,7.8,0.0605,
Eretmodus,cyanostictus,5.4,0.0487,
Eretmodus,cyanostictus,6,0.0562,
Eretmodus,cyanostictus,6.4,0.0578,
Eretmodus,cyanostictus,7.1,0.0545,
Eretmodus,cyanostictus,5.7,0.0554,
Eretmodus,cyanostictus,5.17,0.048,
Eretmodus,cyanostictus,3.43,0.04,
Eretmodus,cyanostictus,2.16,0.033,
Eretmodus,cyanostictus,8,0.0653,
Eretmodus,cyanostictus,10.7,0.0684,
Eretmodus,cyanostictus,10,0.0651,
Eretmodus,cyanostictus,8.3,0.0567,
Eretmodus,cyanostictus,8.2,0.057,
Eretmodus,cyanostictus,8.2,0.061,
Etroplus,suratensis,130,0.227,
Gnathochromis,permaxillaris,26.98,0.098,
Gnathochromis,permaxillaris,25.48,0.105,
Gnathochromis,permaxillaris,32.2,0.1162,
Gnathochromis,permaxillaris,28.3,0.0778,
Gnathochromis,permaxillaris,17.68,0.074,
Gnathochromis,permaxillaris,10.36,0.064,
Gnathochromis,permaxillaris,34.2,0.1105,
Gnathochromis,permaxillaris,12.8,0.0588,
Gnathochromis,pfefferi,10.3,0.1135,
Gnathochromis,pfefferi,9.3,0.0907,
Gnathochromis,pfefferi,8.5,0.0917,
Gnathochromis,pfefferi,7.8,0.0836,
Gnathochromis,pfefferi,6,0.0711,
Gnathochromis,pfefferi,7.7,0.0843,
Gnathochromis,pfefferi,9.3,0.0901,
Gnathochromis,pfefferi,5.6,0.0698,
Gnathochromis,pfefferi,7.2,0.0743,
Gnathochromis,pfefferi,12.8,0.1192,
Gnathochromis,pfefferi,8.9,0.0993,
Greenwoodochromis,christyi,22.36,0.119,
Greenwoodochromis,christyi,17.48,0.096,
Greenwoodochromis,christyi,24.1,0.081,
Haplotaxodon,microlepis,10.44,0.094,
Haplotaxodon,microlepis,10.43,0.087,
Haplotaxodon,microlepis,65.5,0.2142,
Haplotaxodon,microlepis,32.2,0.1499,
Haplotaxodon,microlepis,54.2,0.18,
Haplotaxodon,microlepis,47.1,0.1646,
Haplotaxodon,microlepis,36,0.1439,
Haplotaxodon,microlepis,11.49,0.096,
Haplotaxodon,microlepis,10.1,0.094,
Haplotaxodon,microlepis,10.08,0.1,
Haplotaxodon,microlepis,8.71,0.083,
Haplotaxodon,microlepis,67.6,0.2084,
Haplotaxodon,microlepis,45.2,0.1789,
Haplotaxodon,microlepis,44.1,0.1667,
Haplotaxodon,microlepis,29,0.1454,
Haplotaxodon,microlepis,38.4,0.155,
Haplotaxodon,microlepis,47.2,0.1693,
Haplotaxodon,microlepis,32.9,0.1506,
Hemibates,stenosoma,54.1,0.1733,
Hemibates,stenosoma,51.3,0.1633,
Hemibates,stenosoma,43.7,0.1495,
Hemibates,stenosoma,49.9,0.1426,
Hemibates,stenosoma,192,0.3043,
Hemibates,stenosoma,47.2,0.1637,
Hemichromis,bimaculatus,12.5,0.056,
Hemichromis,bimaculatus,25.4,0.08,
Heros,severus,61.8,0.138,
Julidochromis,marlieri,4.68,0.041,
Julidochromis,marlieri,6.84,0.052,
Julidochromis,marlieri,4.46,0.048,
Julidochromis,marlieri,6.35,0.052,
Julidochromis,marlieri,4.54,0.046,
Julidochromis,marlieri,4.25,0.043,
Julidochromis,ornatus,3.2,0.0369,
Julidochromis,ornatus,6.7,0.044,
Julidochromis,ornatus,4.6,0.0434,
Julidochromis,ornatus,5.5,0.0483,
Julidochromis,ornatus,3.3,0.039,
Julidochromis,ornatus,5.5,0.0464,
Julidochromis,ornatus,2.5,0.0285,
Julidochromis,ornatus,4.8,0.0429,
Julidochromis,ornatus,4.47,0.0456,
Julidochromis,ornatus,4.02,0.0399,
Julidochromis,ornatus,5.57,0.0387,
Julidochromis,ornatus,3.42,0.0399,
Julidochromis,ornatus,3.56,0.0354,
Julidochromis,ornatus,4.11,0.0431,
Julidochromis,ornatus,6.4,0.0424,
Julidochromis,ornatus,4.14,0.0479,
Julidochromis,ornatus,3.83,0.0402,
Julidochromis,ornatus,6.31,0.045,
Julidochromis,ornatus,4.3,0.0405,
Julidochromis,ornatus,3.6,0.0379,
Julidochromis,ornatus,6.7,0.0504,
Julidochromis,ornatus,4.7,0.0407,
Julidochromis,ornatus,3.5,0.0384,
Julidochromis,regani,7.05,0.056,
Julidochromis,regani,10.15,0.061,
Julidochromis,regani,8.7,0.052,
Julidochromis,regani,7.74,0.049,
Julidochromis,regani,9.7,0.056,
Julidochromis,regani,4.24,0.043,
Lamprologus,callipterus,5.24,0.044,
Lamprologus,callipterus,19.74,0.074,
Lamprologus,callipterus,5.67,0.043,
Lamprologus,callipterus,3.35,0.036,
Lamprologus,ocellatus,3.82,0.0368,
Lamprologus,ocellatus,4.46,0.0317,
Lamprologus,ocellatus,4.56,0.0332,
Lamprologus,ocellatus,3.26,0.0301,
Lamprologus,ocellatus,3.67,0.0294,
Lamprologus,ocellatus,2.23,0.0256,
Lamprologus,ocellatus,3.19,0.0312,
Lamprologus,ocellatus,3.87,0.0442,
Lamprologus,ocellatus,4.19,0.0474,
Lamprologus,ocellatus,3.56,0.0227,
Lamprologus,ornatipinnis,1.3,0.0192,
Lamprologus,ornatipinnis,1.3,0.0204,
Lamprologus,ornatipinnis,2.9,0.0298,
Lamprologus,ornatipinnis,2.8,0.0288,
Lamprologus,ornatipinnis,2.5,0.0255,
Lamprologus,ornatipinnis,2.8,0.0334,
Lamprologus,ornatipinnis,3.4,0.0424,
Lamprologus,ornatipinnis,2.1,0.0295,
Lamprologus,ornatipinnis,2.8,0.0346,
Lepidiolamprologus,elongatus,39.2,0.1584,
Lepidiolamprologus,elongatus,45.8,0.1668,
Lepidiolamprologus,elongatus,25.2,0.1213,
Lepidiolamprologus,elongatus,39.1,0.1732,
Lepidiolamprologus,elongatus,30.4,0.1258,
Lepidiolamprologus,elongatus,23.5,0.1254,
Lepidiolamprologus,elongatus,11.4,0.0951,
Lepidiolamprologus,elongatus,6.6,0.0734,
Lepidiolamprologus,elongatus,56.7,0.169,
Lepidiolamprologus,elongatus,30,0.1419,
Lepidiolamprologus,elongatus,45,0.1519,
Lepidiolamprologus,elongatus,30.6,0.1328,
Lepidiolamprologus,elongatus,23.9,0.1182,
Lepidiolamprologus,elongatus,12.4,0.0924,
Lepidiolamprologus,elongatus,34.7,0.1483,
Lepidiolamprologus,lemairii,9.8,0.0781,
Lepidiolamprologus,nkambae,17.5,0.084,
Lepidiolamprologus,nkambae,11.21,0.061,
Lepidiolamprologus,nkambae,41.27,0.133,
Lepidiolamprologus,nkambae,21.91,0.098,
Lepidiolamprologus,nkambae,5.39,0.05,
Lepidiolamprologus,nkambae,14.88,0.088,
Lepidiolamprologus,profundicola,60.7,0.1443,
Lepidiolamprologus,profundicola,25.5,0.0964,
Lepidiolamprologus,profundicola,37.6,0.1172,
Lepidiolamprologus,profundicola,44.5,0.1272,
Lepidiolamprologus,profundicola,47.7,0.1378,
Lepidiolamprologus,profundicola,27,0.099,
Lepidiolamprologus,profundicola,29.7,0.0997,
Lepidiolamprologus,profundicola,43.8,0.1434,
Lepidiolamprologus,profundicola,30.7,0.1067,
Lepidiolamprologus,profundicola,86.5,0.1644,
Lepidiolamprologus,profundicola,64,0.1557,
Lepidiolamprologus,profundicola,78.2,0.1678,
Lepidiolamprologus,profundicola,26.4,0.0935,
Lepidiolamprologus,profundicola,78,0.1618,
Limnochromis,staneri,29.8,0.1413,
Limnochromis,staneri,23.7,0.1729,
Limnochromis,staneri,34.5,0.135,
Limnochromis,staneri,29.3,0.1321,
Limnochromis,staneri,27.8,0.1102,
Limnochromis,staneri,31.5,0.1032,
Limnochromis,staneri,31.1,0.1311,
Limnochromis,staneri,57.7,0.1724,
Limnochromis,staneri,70.4,0.2145,
Limnochromis,staneri,37.9,0.1354,
Limnotilapia,dardennii,3.95,0.065,
Limnotilapia,dardennii,3,0.058,
Limnotilapia,dardennii,34.6,0.198,
Limnotilapia,dardennii,2.99,0.054,
Limnotilapia,dardennii,2.91,0.06,
Limnotilapia,dardennii,2.48,0.052,
Limnotilapia,dardennii,3.15,0.056,
Limnotilapia,dardennii,99.4,0.2821,
Limnotilapia,dardennii,149.4,0.3545,
Limnotilapia,dardennii,110.9,0.3028,
Lobochilotes,labiatus,55.9,0.308,
Lobochilotes,labiatus,122.4,0.3966,
Lobochilotes,labiatus,57.3,0.3128,
Lobochilotes,labiatus,27.4,0.2294,
Lobochilotes,labiatus,29,0.227,
Lobochilotes,labiatus,25.6,0.2209,
Lobochilotes,labiatus,83.3,0.3378,
Lobochilotes,labiatus,31.3,0.2326,
Lobochilotes,labiatus,24.1,0.1911,
Lobochilotes,labiatus,16.2,0.1711,
Lobochilotes,labiatus,18.4,0.1712,
Lobochilotes,labiatus,15.3,0.1618,
Lobochilotes,labiatus,17.9,0.1835,
Lobochilotes,labiatus,38.2,0.2594,
Neolamprologus,brevis,0.52,0.015,
Neolamprologus,brevis,2.69,0.029,
Neolamprologus,brevis,3.23,0.028,
Neolamprologus,brichardi,4.8,0.037,
Neolamprologus,brichardi,5.88,0.036,
Neolamprologus,brichardi,6.1,0.037,
Neolamprologus,brichardi,5.15,0.033,
Neolamprologus,brichardi,3.75,0.038,
Neolamprologus,brichardi,3.49,0.034,
Neolamprologus,brichardi,5.4,0.037,
Neolamprologus,modestus,11.5,0.0854,
Neolamprologus,modestus,13.3,0.0893,
Neolamprologus,modestus,10.4,0.0837,
Neolamprologus,modestus,7.7,0.0825,
Neolamprologus,modestus,9.5,0.0761,
Neolamprologus,modestus,9.05,0.0714,
Neolamprologus,modestus,11.2,0.0747,
Neolamprologus,modestus,12.65,0.0923,
Neolamprologus,modestus,12.48,0.085,
Neolamprologus,modestus,11.77,0.0875,
Neolamprologus,multifasciatus,0.53,0.0117,
Neolamprologus,multifasciatus,0.39,0.0087,
Neolamprologus,multifasciatus,0.43,0.0088,
Neolamprologus,multifasciatus,0.45,0.008,
Neolamprologus,multifasciatus,0.41,0.0081,
Neolamprologus,multifasciatus,0.35,0.0066,
Neolamprologus,multifasciatus,0.45,0.0091,
Neolamprologus,multifasciatus,0.5,0.0105,
Neolamprologus,multifasciatus,0.52,0.01,
Neolamprologus,multifasciatus,0.43,0.0092,
Neolamprologus,pulcher,0.67,0.0142,
Neolamprologus,pulcher,0.641,0.014,
Neolamprologus,pulcher,0.62,0.0133,
Neolamprologus,pulcher,0.795,0.0139,
Neolamprologus,pulcher,0.37,0.0098,
Neolamprologus,pulcher,0.7,0.0143,
Neolamprologus,pulcher,0.47,0.0119,
Neolamprologus,pulcher,0.74,0.0142,
Neolamprologus,pulcher,4.4,0.0366,
Neolamprologus,pulcher,3.1,0.0272,
Neolamprologus,pulcher,4.5,0.0294,
Neolamprologus,pulcher,0.57,0.013,
Neolamprologus,pulcher,0.709,0.0142,
Neolamprologus,pulcher,0.6,0.0131,
Neolamprologus,pulcher,1.1,0.0184,
Neolamprologus,pulcher,4.75,0.038,
Neolamprologus,pulcher,3.92,0.0306,
Neolamprologus,pulcher,5.25,0.0382,
Neolamprologus,pulcher,3.98,0.0345,
Neolamprologus,pulcher,4.46,0.0348,
Neolamprologus,pulcher,3.28,0.0312,
Neolamprologus,pulcher,2.8,0.0324,
Neolamprologus,pulcher,3.01,0.0304,
Neolamprologus,pulcher,4.92,0.036,
Neolamprologus,pulcher,4.82,0.0374,
Neolamprologus,pulcher,6.4,0.0461,
Neolamprologus,pulcher,7.3,0.0346,
Neolamprologus,pulcher,6.8,0.0402,
Neolamprologus,pulcher,6.8,0.034,
Neolamprologus,pulcher,7,0.0379,
Neolamprologus,pulcher,6.1,0.0348,
Neolamprologus,pulcher,5.9,0.0375,
Neolamprologus,pulcher,5.9,0.0367,
Neolamprologus,pulcher,4.7,0.0294,
Neolamprologus,pulcher,5.7,0.0319,
Neolamprologus,pulcher,6.4,0.0369,
Neolamprologus,pulcher,0.21,0.008,
Neolamprologus,pulcher,0.9152,0.0152,
Neolamprologus,pulcher,0.7216,0.0139,
Neolamprologus,pulcher,0.44,0.0116,
Neolamprologus,pulcher,0.36,0.0099,
Neolamprologus,pulcher,0.728,0.0149,
Neolamprologus,pulcher,0.525,0.0141,
Neolamprologus,pulcher,0.28,0.0108,
Neolamprologus,pulcher,0.226,0.0075,
Neolamprologus,pulcher,1.3015,0.0188,
Neolamprologus,pulcher,0.3955,0.0105,
Neolamprologus,savoryi,4.37,0.033,
Neolamprologus,savoryi,4.91,0.0436,
Neolamprologus,savoryi,3.2,0.0322,
Neolamprologus,savoryi,4.4,0.0423,
Neolamprologus,savoryi,4.55,0.0318,
Neolamprologus,savoryi,4.28,0.0399,
Neolamprologus,savoryi,3.75,0.0366,
Neolamprologus,savoryi,3.9,0.0285,
Neolamprologus,savoryi,3.3,0.0313,
Neolamprologus,savoryi,3.23,0.0355,
Neolamprologus,sexfasciatus,21.2,0.1106,
Neolamprologus,sexfasciatus,17.6,0.1049,
Neolamprologus,sexfasciatus,28.6,0.0848,
Neolamprologus,sexfasciatus,49.5,0.0879,
Neolamprologus,sexfasciatus,30.7,0.085,
Neolamprologus,sexfasciatus,13,0.0945,
Neolamprologus,sexfasciatus,8.4,0.0806,
Neolamprologus,sexfasciatus,8.5,0.0771,
Neolamprologus,sexfasciatus,8.1,0.075,
Neolamprologus,sexfasciatus,5.6,0.0686,
Neolamprologus,tetracanthus,10,0.0668,
Neolamprologus,tetracanthus,14.3,0.0763,
Neolamprologus,tetracanthus,8.8,0.0688,
Neolamprologus,tetracanthus,9.1,0.0621,
Neolamprologus,tetracanthus,9.4,0.0613,
Neolamprologus,tetracanthus,9.4,0.0777,
Neolamprologus,tetracanthus,9.62,0.102,
Neolamprologus,tetracanthus,9.75,0.0762,
Neolamprologus,tetracanthus,8.7,0.0694,
Neolamprologus,tetracanthus,9.75,0.0785,
Neolamprologus,tetracanthus,11.14,0.0844,
Neolamprologus,tetracanthus,11.14,0.0825,
Neolamprologus,tetracanthus,9.15,0.0766,
Neolamprologus,tetracanthus,9.06,0.0766,
Neolamprologus,tetracanthus,9.35,0.0747,
Neolamprologus,tetracanthus,9.25,0.0712,
Neolamprologus,tetracanthus,8.43,0.073,
Neolamprologus,tetracanthus,19.7,0.1014,
Neolamprologus,tetracanthus,12.3,0.0618,
Neolamprologus,tetracanthus,19.8,0.0787,
Neolamprologus,tetracanthus,17.3,0.0788,
Neolamprologus,tetracanthus,15.5,0.073,
Neolamprologus,tetracanthus,18.1,0.0812,
Neolamprologus,tetracanthus,25.8,0.1279,
Neolamprologus,tetracanthus,16.5,0.0942,
Neolamprologus,tretocephalus,7.26,0.061,
Neolamprologus,tretocephalus,10.87,0.072,
Neolamprologus,tretocephalus,16.04,0.075,
Neolamprologus,tretocephalus,11.38,0.077,
Neolamprologus,tretocephalus,10.39,0.084,
Neolamprologus,tretocephalus,9.57,0.07,
Neolamprologus,tretocephalus,6,0.053,
Ophthalmotilapia,boops,8,0.074,
Ophthalmotilapia,boops,7.47,0.077,
Ophthalmotilapia,boops,14.71,0.098,
Ophthalmotilapia,nasuta,9.16,0.082,
Ophthalmotilapia,nasuta,7.8,0.082,
Ophthalmotilapia,nasuta,17.5,0.1063,
Ophthalmotilapia,nasuta,12,0.1178,
Ophthalmotilapia,nasuta,19,0.1155,
Ophthalmotilapia,nasuta,20.2,0.1136,
Ophthalmotilapia,nasuta,16.6,0.1093,
Ophthalmotilapia,nasuta,14.8,0.1102,
Ophthalmotilapia,nasuta,19,0.1251,
Ophthalmotilapia,nasuta,13.25,0.095,
Ophthalmotilapia,nasuta,16.43,0.105,
Ophthalmotilapia,nasuta,24.3,0.1326,
Ophthalmotilapia,nasuta,24.2,0.1373,
Ophthalmotilapia,nasuta,18.2,0.101,
Ophthalmotilapia,nasuta,25.5,0.1362,
Ophthalmotilapia,nasuta,27.7,0.1347,
Ophthalmotilapia,nasuta,24.7,0.1195,
Ophthalmotilapia,nasuta,17.3,0.1103,
Ophthalmotilapia,nasuta,23,0.1299,
Ophthalmotilapia,nasuta,24,0.1191,
Ophthalmotilapia,nasuta,26.6,0.1298,
Ophthalmotilapia,ventralis,13.72,0.116,
Ophthalmotilapia,ventralis,12.45,0.093,
Ophthalmotilapia,ventralis,18.49,0.136,
Ophthalmotilapia,ventralis,12.16,0.101,
Ophthalmotilapia,ventralis,15.1,0.124,
Ophthalmotilapia,ventralis,15.6,0.1122,
Ophthalmotilapia,ventralis,13,0.1156,
Ophthalmotilapia,ventralis,17.8,0.1078,
Ophthalmotilapia,ventralis,13.8,0.106,
Ophthalmotilapia,ventralis,12,0.0921,
Ophthalmotilapia,ventralis,16.8,0.1132,
Ophthalmotilapia,ventralis,16.1,0.1123,
Ophthalmotilapia,ventralis,16.6,0.1208,
Ophthalmotilapia,ventralis,14.4,0.1123,
Ophthalmotilapia,ventralis,17.8,0.1156,
Oreochromis,mossambicus,17.5,0.109,
Oreochromis,mossambicus,18.3,0.102,
Oreochromis,mossambicus,21.8,0.11,
Oreochromis,niloticus,135,0.273,20
Oreochromis,niloticus,140,0.283,20
Oreochromis,tanganicae,415.2,0.2741,
Oreochromis,tanganicae,430.4,0.2998,
Oreochromis,tanganicae,612.4,0.452,
Perissodus,microlepis,9,0.0639,
Perissodus,microlepis,7.6,0.0744,
Perissodus,microlepis,9.3,0.074,
Perissodus,microlepis,10.4,0.0873,
Perissodus,microlepis,11.9,0.1011,
Perissodus,microlepis,11.7,0.0836,
Perissodus,microlepis,9.9,0.0924,
Perissodus,microlepis,11.7,0.0782,
Perissodus,microlepis,18.2,0.0951,
Perissodus,microlepis,10.5,0.0861,
Petrochromis,ephippium,55.9,0.2051,
Petrochromis,famula,46.8,0.1617,
Petrochromis,famula,25.2,0.1498,
Petrochromis,famula,27.2,0.1307,
Petrochromis,famula,29.3,0.1375,
Petrochromis,famula,37.7,0.1373,
Petrochromis,famula,74.94,0.197,
Petrochromis,famula,44.6,0.1665,
Petrochromis,famula,54.8,0.1861,
Petrochromis,famula,45.2,0.1905,
Petrochromis,famula,32.3,0.1628,
Petrochromis,famula,62.8,0.2033,
Petrochromis,famula,60,0.2022,
Petrochromis,famula,57.9,0.19,
Petrochromis,orthognathus,42.19,0.182,
Petrochromis,orthognathus,50.07,0.193,
Petrochromis,orthognathus,52.97,0.208,
Petrochromis,orthognathus,22.1,0.1602,
Petrochromis,orthognathus,13.5,0.1152,
Petrochromis,orthognathus,10,0.0859,
Petrochromis,orthognathus,20.5,0.1146,
Petrochromis,orthognathus,31.1,0.144,
Petrochromis,orthognathus,18.1,0.111,
Petrochromis,orthognathus,17,0.1123,
Petrochromis,orthognathus,7.6,0.0686,
Petrochromis,orthognathus,53.38,0.204,
Petrochromis,orthognathus,25.2,0.1497,
Petrochromis,orthognathus,9.2,0.1058,
Petrochromis,orthognathus,24.6,0.1486,
Petrochromis,orthognathus,8.4,0.0752,
Petrochromis,orthognathus,13.8,0.0997,
Petrochromis,orthognathus,10.1,0.1113,
Plecodus ,paradoxus,19.3,0.1078,
Pseudosimochromis,curvifrons,37.7,0.1991,
Pseudosimochromis,curvifrons,36.4,0.1925,
Pseudosimochromis,curvifrons,20.8,0.1403,
Pseudosimochromis,curvifrons,39.1,0.187,
Pseudosimochromis,curvifrons,33,0.1675,
Pseudosimochromis,curvifrons,39.7,0.1961,
Pseudosimochromis,curvifrons,39.8,0.1997,
Pseudosimochromis,curvifrons,35.8,0.1935,
Pseudosimochromis,curvifrons,30.1,0.1761,
Pseudosimochromis,curvifrons,14.8,0.1105,
Pseudosimochromis,curvifrons,34.2,0.1561,
Pseudosimochromis,curvifrons,29.9,0.1562,
Simochromis,babaulti,7.42,0.074,
Simochromis,babaulti,6.07,0.069,
Simochromis,babaulti,5.68,0.076,
Simochromis,babaulti,10.2,0.0811,
Simochromis,babaulti,9.8,0.0856,
Simochromis,babaulti,9.7,0.0898,
Simochromis,babaulti,8.7,0.0789,
Simochromis,babaulti,8.8,0.0725,
Simochromis,babaulti,8.4,0.0802,
Simochromis,babaulti,8.1,0.089,
Simochromis,babaulti,7.79,0.083,
Simochromis,babaulti,14.3,0.1343,
Simochromis,babaulti,12.6,0.1229,
Simochromis,babaulti,15.2,0.102,
Simochromis,babaulti,10.4,0.0923,
Simochromis,babaulti,13.2,0.1056,
Simochromis,babaulti,15.4,0.1187,
Simochromis,babaulti,13.4,0.1017,
Simochromis,babaulti,16.1,0.105,
Simochromis,babaulti,13,0.095,
Simochromis,babaulti,10.4,0.093,
Simochromis,diagramma,17.7,0.1559,
Simochromis,diagramma,14.2,0.1337,
Simochromis,diagramma,28.5,0.1749,
Simochromis,diagramma,22.8,0.1624,
Simochromis,diagramma,26.5,0.1592,
Simochromis,diagramma,35.3,0.1989,
Simochromis,diagramma,38.9,0.2039,
Simochromis,diagramma,34.1,0.2091,
Simochromis,diagramma,37.5,0.2112,
Simochromis,diagramma,29,0.1832,
Simochromis,diagramma,34.1,0.2061,
Simochromis,diagramma,33.4,0.2056,
Simochromis,diagramma,30.7,0.1863,
Spathodus,erythrodon,2.82,0.037,
Spathodus,erythrodon,2.74,0.04,
Spathodus,erythrodon,3.46,0.039,
Spathodus,erythrodon,2.14,0.037,
Spathodus,marlieri,3.59,0.041,
Spathodus,marlieri,4.26,0.043,
Spathodus,marlieri,3.6,0.041,
Spathodus,marlieri,4.38,0.043,
Spathodus,marlieri,3.13,0.037,
Spathodus,marlieri,7.73,0.063,
Tanganicodus,irsacae,2.52,0.043,
Tanganicodus,irsacae,1.99,0.037,
Tanganicodus,irsacae,1.4,0.032,
Tanganicodus,irsacae,2.87,0.05,
Telmatochromis,temporalis,3.8,0.0343,
Telmatochromis,temporalis,4.5,0.0364,
Telmatochromis,temporalis,4.2,0.0376,
Telmatochromis,temporalis,4,0.0363,
Telmatochromis,temporalis,4.5,0.0412,
Telmatochromis,temporalis,5.48,0.0347,
Telmatochromis,temporalis,5.12,0.0359,
Telmatochromis,temporalis,5.15,0.036,
Telmatochromis,temporalis,5.56,0.0411,
Telmatochromis,temporalis,2.63,0.03,
Telmatochromis,temporalis,3.13,0.0298,
Telmatochromis,temporalis,3.81,0.0352,
Telmatochromis,temporalis,3.99,0.0376,
Telmatochromis,temporalis,4.8,0.0374,
Telmatochromis,temporalis,1.76,0.0253,
Telmatochromis,temporalis,5.6,0.0412,
Telmatochromis,temporalis,9.7,0.0536,
Telmatochromis,temporalis,8.5,0.0533,
Telmatochromis,temporalis,8.6,0.0507,
Telmatochromis,temporalis,6,0.0426,
Telmatochromis,temporalis,6.3,0.0456,
Telmatochromis,temporalis,8.4,0.0527,
Telmatochromis,temporalis,8.5,0.056,
Telmatochromis,temporalis,7.1,0.0497,
Trematocara,macrostoma,7.4,0.0375,
Trematocara,macrostoma,9.1,0.0422,
Trematocara,macrostoma,11.5,0.0399,
Trematocara,macrostoma,8.7,0.0287,
Trematocara,macrostoma,9,0.0368,
Trematocara,macrostoma,10.7,0.0399,
Trematocara,unimaculatum,14.9,0.0533,
Trematocara,unimaculatum,13.7,0.0548,
Trematocara,unimaculatum,25.3,0.0804,
Trematocara,unimaculatum,12.6,0.0512,
Trematocara,unimaculatum,22.2,0.0515,
Trematocara,unimaculatum,29.3,0.0642,
Trematocara,unimaculatum,40.5,0.0986,
Trematocara,unimaculatum,17.5,0.0625,
Trematocara,unimaculatum,13,0.0526,
Trematocara,unimaculatum,13.1,0.0507,
Trematocara ,stigmaticum,3.6,0.034,
Triglachromis,otostigma,4.91,0.048,
Triglachromis,otostigma,6.28,0.045,
Triglachromis,otostigma,8.91,0.051,
Triglachromis,otostigma,4.64,0.042,
Triglachromis,otostigma,5.31,0.041,
Triglachromis,otostigma,5.74,0.046,
Tropheus,brichardi,12.9,0.125,
Tropheus,brichardi,17.31,0.139,
Tropheus,brichardi,16.05,0.138,
Tropheus,brichardi,13.57,0.132,
Tropheus,moorii,7.98,0.082,
Tropheus,moorii,5.43,0.073,
Tropheus,moorii,19.3,0.1141,
Tropheus,moorii,19.1,0.1348,
Tropheus,moorii,18.5,0.1486,
Tropheus,moorii,16.8,0.1055,
Tropheus,moorii,25.7,0.1297,
Tropheus,moorii,25.3,0.1264,
Tropheus,moorii,17.9,0.1061,
Tropheus,moorii,21.1,0.1059,
Tropheus,moorii,13.1,0.1014,
Tropheus,moorii,12.66,0.119,
Tropheus,moorii,7.58,0.082,
Tropheus,moorii,35.9,0.1488,
Tropheus,moorii,24.5,0.1247,
Tropheus,moorii,19.7,0.1037,
Tropheus,moorii,16.9,0.0941,
Tropheus,moorii,17.7,0.1111,
Tropheus,moorii,21.7,0.1255,
Tylochromis,polylepis,17.2,0.164,
Tylochromis,polylepis,11.5,0.1285,
Tylochromis,polylepis,9.1,0.1164,
Tylochromis,polylepis,19.9,0.1347,
Tylochromis,polylepis,15.4,0.1238,
Tylochromis,polylepis,15,0.1346,
Tylochromis,polylepis,13.7,0.106,
Tylochromis,polylepis,7.1,0.0764,
Tylochromis,polylepis,8,0.0853,
Tylochromis,polylepis,15.4,0.1259,
Tylochromis,polylepis,9.3,0.0944,
Tylochromis,polylepis,9.7,0.1086,
Tylochromis,polylepis,8.3,0.082,
Tylochromis,polylepis,10,0.1098,
Variabilichromis,moorii,5.8,0.0645,
Variabilichromis,moorii,7.3,0.0775,
Variabilichromis,moorii,8.5,0.0797,
Variabilichromis,moorii,6,0.0658,
Variabilichromis,moorii,8.2,0.0744,
Variabilichromis,moorii,5.2,0.0619,
Variabilichromis,moorii,8.2,0.0775,
Variabilichromis,moorii,11.4,0.0876,
Xenotilapia,flavipinnis,2.48,0.033,
Xenotilapia,flavipinnis,7.5,0.0576,
Xenotilapia,flavipinnis,5.8,0.0517,
Xenotilapia,flavipinnis,6.3,0.0535,
Xenotilapia,flavipinnis,5.6,0.0503,
Xenotilapia,flavipinnis,7,0.0614,
Xenotilapia,flavipinnis,1.64,0.031,
Xenotilapia,flavipinnis,2.81,0.034,
Xenotilapia,flavipinnis,1.28,0.025,
Xenotilapia,flavipinnis,7.9,0.0582,
Xenotilapia,flavipinnis,6.6,0.0569,
Xenotilapia,flavipinnis,8.4,0.067,
Xenotilapia,flavipinnis,8.1,0.0678,
